bin_index,bin_lower,bin_upper,bin_center,sample_count,accuracy,mean_confidence,calibration_gap,model_name,crop,subset_name,is_calibrated
8,0.7000000000000001,0.8,0.75,37,0.8648648858070374,0.740903913974762,0.12396097183227539,Chilli,Chilli,internal_test,True
9,0.8,0.9,0.8500000000000001,36,0.9166666865348816,0.8562281727790833,0.06043851375579834,Chilli,Chilli,internal_test,True
10,0.9,1.0,0.95,29,0.931034505367279,0.9458938241004944,0.014859318733215332,Chilli,Chilli,internal_test,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_a_internal,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_a_internal,False
3,0.2,0.30000000000000004,0.25,1,1.0,0.2884685695171356,0.7115314304828644,Chilli,Chilli,track_a_internal,False
4,0.30000000000000004,0.4,0.35000000000000003,8,0.5,0.3667827248573303,0.13321727514266968,Chilli,Chilli,track_a_internal,False
5,0.4,0.5,0.45,22,0.3636363744735718,0.4551267921924591,0.09149041771888733,Chilli,Chilli,track_a_internal,False
6,0.5,0.6000000000000001,0.55,32,0.34375,0.554085373878479,0.210335373878479,Chilli,Chilli,track_a_internal,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,28,0.4285714328289032,0.653570830821991,0.22499939799308777,Chilli,Chilli,track_a_internal,False
8,0.7000000000000001,0.8,0.75,15,0.6000000238418579,0.7586513757705688,0.15865135192871094,Chilli,Chilli,track_a_internal,False
9,0.8,0.9,0.8500000000000001,14,0.8571428656578064,0.841740608215332,0.015402257442474365,Chilli,Chilli,track_a_internal,False
10,0.9,1.0,0.95,24,0.8333333134651184,0.9556701183319092,0.12233680486679077,Chilli,Chilli,track_a_internal,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_a_internal,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_a_internal,True
3,0.2,0.30000000000000004,0.25,3,0.6666666865348816,0.28844165802001953,0.37822502851486206,Chilli,Chilli,track_a_internal,True
4,0.30000000000000004,0.4,0.35000000000000003,13,0.3076923191547394,0.37007638812065125,0.062384068965911865,Chilli,Chilli,track_a_internal,True
5,0.4,0.5,0.45,34,0.4117647111415863,0.4584122896194458,0.0466475784778595,Chilli,Chilli,track_a_internal,True
6,0.5,0.6000000000000001,0.55,33,0.3333333432674408,0.552263081073761,0.2189297378063202,Chilli,Chilli,track_a_internal,True
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,19,0.6315789222717285,0.642352283000946,0.01077336072921753,Chilli,Chilli,track_a_internal,True
8,0.7000000000000001,0.8,0.75,16,0.75,0.7409255504608154,0.00907444953918457,Chilli,Chilli,track_a_internal,True
9,0.8,0.9,0.8500000000000001,14,0.8571428656578064,0.8646132349967957,0.007470369338989258,Chilli,Chilli,track_a_internal,True
10,0.9,1.0,0.95,12,0.8333333134651184,0.9425430297851562,0.10920971632003784,Chilli,Chilli,track_a_internal,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_b_external,False
