model_name,crop,subset_name,sample_count,temperature,is_calibrated,nll,brier_score,ece_10bin,mean_confidence,accuracy
Sugarcane,Sugarcane,track_c_realworld,40,0.9605418538296602,True,2.6306097507476807,1.0726683139801025,0.460968428850174,0.7198411822319031,0.275
Sugarcane,Sugarcane,track_d_cross_crop,75,1.0,False,,,,0.7550289630889893,
Sugarcane,Sugarcane,track_d_cross_crop,75,0.9605418538296602,True,,,,0.765098512172699,
Sugarcane,Sugarcane,track_d_unrelated,20,1.0,False,,,,0.7069500684738159,
Sugarcane,Sugarcane,track_d_unrelated,20,0.9605418538296602,True,,,,0.7160588502883911,
Chilli (Candidate D - Supplementary),Chilli,validation,290,1.0,False,0.8218147158622742,0.3716520071029663,0.08343533231266614,0.8042766451835632,0.7275862068965517
Chilli (Candidate D - Supplementary),Chilli,validation,290,1.49791334077081,True,0.7618604898452759,0.36830368638038635,0.05645604267202575,0.714428722858429,0.7275862068965517
Chilli (Candidate D - Supplementary),Chilli,internal_test,290,1.0,False,0.9466953873634338,0.4508068263530731,0.11649063938650592,0.8026975393295288,0.6862068965517242
Chilli (Candidate D - Supplementary),Chilli,internal_test,290,1.49791334077081,True,0.8460161685943604,0.4313424229621887,0.0391220517199615,0.7141518592834473,0.6862068965517242
Chilli (Candidate D - Supplementary),Chilli,track_a_internal,144,1.0,False,1.1886969804763794,0.5742650628089905,0.2077308613806963,0.7910641431808472,0.5833333333333334
Chilli (Candidate D - Supplementary),Chilli,track_a_internal,144,1.49791334077081,True,1.0146286487579346,0.5306862592697144,0.12749208344353571,0.7030342817306519,0.5833333333333334
Chilli (Candidate D - Supplementary),Chilli,track_b_external,120,1.0,False,0.21491500735282898,0.11520301550626755,0.014125267167886098,0.9108746647834778,0.925
Chilli (Candidate D - Supplementary),Chilli,track_b_external,120,1.49791334077081,True,0.24971264600753784,0.12483077496290207,0.06761440585056941,0.8598154783248901,0.925
Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,97,1.0,False,0.6706869602203369,0.2632410526275635,0.0894841072485619,0.9039170742034912,0.8144329896907216
Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,97,1.49791334077081,True,0.561596691608429,0.24992001056671143,0.03854765474181814,0.8497846126556396,0.8144329896907216
Chilli (Candidate D - Supplementary),Chilli,track_d_cross_crop,75,1.0,False,,,,0.8020796179771423,
Chilli (Candidate D - Supplementary),Chilli,track_d_cross_crop,75,1.49791334077081,True,,,,0.7117401957511902,
Chilli (Candidate D - Supplementary),Chilli,track_d_unrelated,20,1.0,False,,,,0.757323145866394,
Chilli (Candidate D - Supplementary),Chilli,track_d_unrelated,20,1.49791334077081,True,,,,0.6442939043045044,
