evaluation_track,crop,true_label,predicted_label,count,mean_confidence,max_confidence,example_file
TRACK_B_EXTERNAL,Tomato,Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot,8,0.8331523202359676,0.9974473714828491,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Bacterial_spot\plantdoc_05-069f1.jpg
TRACK_B_EXTERNAL,Grape,Powdery Mildew,Esca (Black Measles),8,0.7619150131940842,0.99980229139328,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Powdery Mildew\gldd_099a83f8-97a6-4802-9261-3231550a5834_jpg.rf.6434058691a2b6f7f8aa8f4e9788ac16.jpg
TRACK_A_INTERNAL,Chilli,murda complex,cerocospora,7,0.5572228389126914,0.770574152469635,D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4746.JPG
TRACK_D_CROSS_CROP,Grape,Cross-Crop: Sugarcane,Leaf Blight,7,0.7635231528963361,0.9683158993721008,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1496.jpg
TRACK_C_REALWORLD,Sugarcane,Red Rot,Rust (Brown Rust),7,0.6572826589856829,0.9198079705238342,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\sugarcane\Red Rot\sc_field_S_RR-25-_JPG.rf.ff3c77e1661e0db9271eaf6b49c9eab1.jpg
TRACK_D_CROSS_CROP,Grape,Cross-Crop: Chilli,Esca (Black Measles),7,0.7722250521183014,0.9318518042564392,D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3427.JPG
TRACK_D_CROSS_CROP,Tomato,Cross-Crop: Chilli,Tomato___Late_blight,7,0.8211708239146641,0.9938850998878479,D:\CropDiseaseProject\chilli_cold\healthy\IMG_3918.JPG
TRACK_B_EXTERNAL,Tomato,Tomato___Target_Spot,Tomato___Late_blight,7,0.9371820347649711,0.9995123147964478,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Target_Spot\rk_sau_IMG_0997_JPG.rf.0a42d559759d32c155086347939521ac.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Early_blight,7,0.8105360099247524,0.9813175797462463,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pak_18071.img.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Septoria_leaf_spot,Tomato___Late_blight,7,0.7347791109766278,0.9835485816001892,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Septoria_leaf_spot\pak_140714+%2811%29.JPG.jpg
TRACK_D_UNRELATED,Grape,Unrelated / Non-Leaf,Healthy Leaves,7,0.8686198549611228,0.998805046081543,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\cards.png
TRACK_D_CROSS_CROP,Tomato,Cross-Crop: Grape,Tomato___Late_blight,7,0.7916894044194903,0.9998458623886108,D:\CropDiseaseProject\grape_2024\esca\esca871.jpg
