model_name,dataset_name,crop_name,prediction_outcome,count,mean_confidence,median_confidence,std_confidence,min_confidence,max_confidence,pct_conf_ge_0_90,pct_conf_ge_0_95,pct_conf_ge_0_99,pct_conf_lt_0_70
Model B (Augmented),Internal Test,Chilli,Correct,288,0.9980717384152942,1.0,0.023018978877512256,0.6159411072731018,1.0,99.65277777777779,99.30555555555556,97.56944444444444,0.3472222222222222
Model B (Augmented),Internal Test,Chilli,Incorrect,2,0.8977924287319183,0.8977924287319183,0.10092571377754211,0.7968667149543762,0.9987181425094604,50.0,50.0,50.0,0.0
Model B (Augmented),Internal Test,Sugarcane,All,1340,0.9999980338029008,1.0,5.6073003495832804e-05,0.9980340600013732,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Internal Test,Sugarcane,Correct,1340,0.9999980338029008,1.0,5.6073003495832804e-05,0.9980340600013732,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,ALL,All,100,0.9999969959259033,1.0,1.1550894206396147e-05,0.9999181032180786,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,ALL,Correct,100,0.9999969959259033,1.0,1.1550894206396147e-05,0.9999181032180786,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,Tomato,All,25,1.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,Tomato,Correct,25,1.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,Grape,All,25,0.9999989604949951,1.0,4.611476354420588e-06,0.999976396560669,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,Grape,Correct,25,0.9999989604949951,1.0,4.611476354420588e-06,0.999976396560669,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,Chilli,All,25,0.9999890232086182,0.9999997615814208,2.0662871018325557e-05,0.9999181032180786,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,Chilli,Correct,25,0.9999890232086182,0.9999997615814208,2.0662871018325557e-05,0.9999181032180786,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,Sugarcane,All,25,1.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track D Cross-Crop,Sugarcane,Correct,25,1.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track B External,ALL,All,632,0.9288821756556819,0.9956877529621124,0.12545935183405857,0.4448988139629364,1.0,78.48101265822784,71.04430379746836,55.379746835443036,9.177215189873419
Model B (Augmented),Track B External,ALL,Correct,225,0.9347508184115092,0.999297022819519,0.12769621174523635,0.457578182220459,1.0,79.55555555555556,76.0,66.22222222222223,9.333333333333334
Model B (Augmented),Track B External,ALL,Incorrect,407,0.9256378399798559,0.9892327785491944,0.12408639298288195,0.4448988139629364,1.0,77.88697788697789,68.3046683046683,49.385749385749385,9.090909090909092
Model B (Augmented),Track B External,Tomato,All,272,0.9055592437439105,0.9814337193965912,0.13606911525184773,0.5013424754142761,0.9999998807907104,70.95588235294117,59.92647058823529,42.279411764705884,12.867647058823529
Model B (Augmented),Track B External,Tomato,Correct,27,0.8551419311099582,0.9160214066505432,0.15581068953868552,0.5044397115707397,0.9999974966049194,51.85185185185185,40.74074074074074,37.03703703703704,25.925925925925924
Model B (Augmented),Track B External,Tomato,Incorrect,245,0.9111154373811216,0.982014775276184,0.13254731298749592,0.5013424754142761,0.9999998807907104,73.06122448979592,62.04081632653061,42.857142857142854,11.428571428571429
Model B (Augmented),Track B External,Grape,All,180,0.9360834388269319,0.997984379529953,0.12328183902807448,0.4448988139629364,1.0,81.11111111111111,75.0,61.111111111111114,7.222222222222221
Model B (Augmented),Track B External,Grape,Correct,63,0.906604216212318,0.9990962743759156,0.1446750103422741,0.457578182220459,1.0,69.84126984126983,65.07936507936508,57.14285714285714,11.11111111111111
Model B (Augmented),Track B External,Grape,Incorrect,117,0.951956866388647,0.9975409507751464,0.10673241172532169,0.4448988139629364,1.0,87.17948717948718,80.34188034188034,63.24786324786324,5.128205128205128
Model B (Augmented),Track B External,Chilli,All,120,0.9353884637355805,0.9949002265930176,0.11937910946883956,0.5072160959243774,0.9999995231628418,80.83333333333333,75.83333333333333,54.166666666666664,8.333333333333332
Model B (Augmented),Track B External,Chilli,Correct,75,0.9348566706975301,0.9950088262557985,0.1274548215242397,0.5072160959243774,0.9999988079071044,81.33333333333333,78.66666666666666,57.333333333333336,9.333333333333334
Model B (Augmented),Track B External,Chilli,Incorrect,45,0.9362747854656643,0.9851784110069276,0.10453635070140625,0.6243182420730591,0.9999995231628418,80.0,71.11111111111111,48.888888888888886,6.666666666666667
Model B (Augmented),Track B External,Sugarcane,All,60,0.9999964346488317,1.0,2.2619093582951943e-05,0.9998237490653992,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track B External,Sugarcane,Correct,60,0.9999964346488317,1.0,2.2619093582951943e-05,0.9998237490653992,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track C Real-World,ALL,All,425,0.929763201194651,0.9968777894973756,0.12644113072603969,0.4453199803829193,1.0,77.41176470588236,71.52941176470588,60.0,9.411764705882353
Model B (Augmented),Track C Real-World,ALL,Correct,167,0.9522109247610241,0.999778926372528,0.10909120648143442,0.4453199803829193,1.0,83.8323353293413,80.23952095808383,71.25748502994011,5.9880239520958085
Model B (Augmented),Track C Real-World,ALL,Incorrect,258,0.9152330855528513,0.9928625524044037,0.1345183417886429,0.5118076205253601,1.0,73.25581395348837,65.89147286821705,52.71317829457365,11.627906976744185
Model B (Augmented),Track C Real-World,Tomato,All,188,0.904332142719563,0.9833142161369324,0.14051936990045688,0.4453199803829193,1.0,70.2127659574468,62.76595744680851,44.148936170212764,13.297872340425531
Model B (Augmented),Track C Real-World,Tomato,Correct,35,0.9061816155910491,0.9877248406410216,0.1536795778611201,0.4453199803829193,1.0,71.42857142857143,68.57142857142857,48.57142857142857,14.285714285714285
Model B (Augmented),Track C Real-World,Tomato,Incorrect,153,0.9039090606901381,0.9828316569328308,0.1373282360283396,0.5118076205253601,1.0,69.93464052287581,61.43790849673203,43.13725490196079,13.071895424836603
Model B (Augmented),Track C Real-World,Grape,All,100,0.9494144016504288,0.9995719194412231,0.11429773394318239,0.5233587622642517,1.0,84.0,80.0,77.0,8.0
Model B (Augmented),Track C Real-World,Grape,Correct,33,0.9350578929438735,0.999964952468872,0.141514644150902,0.5233587622642517,1.0,81.81818181818183,81.81818181818183,78.78787878787878,15.151515151515152
Model B (Augmented),Track C Real-World,Grape,Incorrect,67,0.9564855178790306,0.9984002709388732,0.09738173274732531,0.5737504363059998,0.9999998807907104,85.07462686567165,79.1044776119403,76.11940298507463,4.477611940298507
Model B (Augmented),Track C Real-World,Chilli,All,97,0.9298296970190462,0.9965000152587892,0.1209288835136437,0.5149974822998047,0.9999997615814208,75.25773195876289,68.04123711340206,56.70103092783505,7.216494845360824
Model B (Augmented),Track C Real-World,Chilli,Correct,59,0.956711195283017,0.9982947707176208,0.07405427290034532,0.750994086265564,0.9999997615814208,81.35593220338984,72.88135593220339,61.016949152542374,0.0
Model B (Augmented),Track C Real-World,Chilli,Incorrect,38,0.8880926339249862,0.9905123710632324,0.1610917034426141,0.5149974822998047,0.999990463256836,65.78947368421053,60.526315789473685,50.0,18.421052631578945
Model B (Augmented),Track C Real-World,Sugarcane,All,40,0.9999999225139617,1.0,1.9687586503840837e-07,0.9999991655349731,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Track C Real-World,Sugarcane,Correct,40,0.9999999225139617,1.0,1.9687586503840837e-07,0.9999991655349731,1.0,100.0,100.0,100.0,0.0
Model B (Augmented),Phase 18 Benchmark,ALL,All,1172,0.9260025713529196,0.9957398772239685,0.1285125892133366,0.4448988139629364,1.0,77.13310580204778,70.05119453924915,55.887372013651884,9.641638225255972
Model B (Augmented),Phase 18 Benchmark,ALL,Correct,459,0.9376648063233735,0.999297022819519,0.12309171985282441,0.4453199803829193,1.0,80.17429193899783,75.38126361655773,64.92374727668845,8.278867102396514
Model B (Augmented),Phase 18 Benchmark,ALL,Incorrect,713,0.9184949053621225,0.9903408885002136,0.13133771744636627,0.4448988139629364,1.0,75.17531556802244,66.61991584852734,50.07012622720898,10.518934081346423
Model B (Augmented),Phase 18 Benchmark,Tomato,All,460,0.9050577328904815,0.982010543346405,0.13790658823190186,0.4453199803829193,1.0,70.65217391304348,61.08695652173913,43.04347826086957,13.043478260869565
Model B (Augmented),Phase 18 Benchmark,Tomato,Correct,62,0.8839546562202515,0.9778020679950714,0.15666862778989019,0.4453199803829193,1.0,62.903225806451616,56.451612903225815,43.54838709677419,19.35483870967742
Model B (Augmented),Phase 18 Benchmark,Tomato,Incorrect,398,0.9083451468441355,0.9822226166725159,0.13445103823369367,0.5013424754142761,1.0,71.85929648241206,61.80904522613066,42.96482412060301,12.060301507537687
Model B (Augmented),Phase 18 Benchmark,Grape,All,280,0.9408444969781807,0.9984255731105804,0.12032004696788669,0.4448988139629364,1.0,82.14285714285714,76.78571428571429,66.78571428571428,7.5
Model B (Augmented),Phase 18 Benchmark,Grape,Correct,96,0.9163851675887903,0.999799370765686,0.1442310164251973,0.457578182220459,1.0,73.95833333333334,70.83333333333334,64.58333333333334,12.5
Model B (Augmented),Phase 18 Benchmark,Grape,Incorrect,184,0.9536058862248192,0.9980952143669128,0.10344841617026122,0.4448988139629364,1.0,86.41304347826086,79.8913043478261,67.93478260869566,4.891304347826087
Model B (Augmented),Phase 18 Benchmark,Chilli,All,332,0.9202175131404257,0.9920763075351715,0.1313978724739706,0.4512552320957184,0.9999997615814208,75.0,67.7710843373494,51.204819277108435,9.63855421686747
Model B (Augmented),Phase 18 Benchmark,Chilli,Correct,201,0.9333840713868686,0.9947916269302368,0.11847241082888935,0.4512552320957184,0.9999997615814208,78.60696517412936,71.14427860696517,54.22885572139303,6.965174129353234
Model B (Augmented),Phase 18 Benchmark,Chilli,Incorrect,131,0.900015389418784,0.9851784110069276,0.14678814427903278,0.4831872880458832,0.9999995231628418,69.46564885496184,62.59541984732825,46.56488549618321,13.740458015267176
Model B (Augmented),Phase 18 Benchmark,Sugarcane,All,100,0.9999978297948837,1.0,1.7604237828173536e-05,0.9998237490653992,1.0,100.0,100.0,100.0,0.0
